# Beam : 58Ni + 64Ni 32 MeV/A
# CSI calib based on data for Si-CsI identified isotopes of Z=2-6
# E_CsI calculated from deltaE in silicon detector
# Initial parameter values from INDRA_camp5, only a1 varied in fit
RunList:                                  65000-76028
SignalIn:                                TotLight
SignalOut:                               Energy
CalibType:                               LightEnergy
CalibClass: 				 LightEnergyCsI
CSI_0904: 18.8948 ,  0.304689 ,  6 ,  0.385
CSI_0905: 26.773 ,  0.439288 ,  6.00999 ,  0.385
CSI_0906: 37.404 ,  0.491016 ,  6.01 ,  0.385
CSI_0907: 18.4634 ,  0.42538 ,  6.01 ,  0.385
CSI_0908: 16.6894 ,  0.324572 ,  6.00999 ,  0.385
CSI_0909: 32.7484 ,  0.306953 ,  6.01 ,  0.385
CSI_0910: -nan ,  0.573888 ,  6.01 ,  0.385
CSI_0911: 21.8947 ,  0.314611 ,  6.01 ,  0.385
CSI_0912: 17.2645 ,  0.29304 ,  6.01 ,  0.385
CSI_0913: 17.2304 ,  0.396264 ,  6.01 ,  0.385
CSI_0914: 18.1021 ,  0.306493 ,  6.01 ,  0.385
CSI_0915: 32.9228 ,  0.267506 ,  6.01 ,  0.385
CSI_0916: 48.7983 ,  0.504906 ,  6.00999 ,  0.385
CSI_0917: 17.981 ,  0.620313 ,  6.01 ,  0.385
CSI_0918: 19.4714 ,  0.52375 ,  6.01 ,  0.385
CSI_0919: 14.1652 ,  0.255274 ,  6.01 ,  0.385
CSI_0920: 17.5283 ,  0.248753 ,  6.00059 ,  0.385
CSI_0921: 17.6865 ,  0.35827 ,  6.00998 ,  0.385
CSI_0922: 32.5111 ,  0.305196 ,  6.01 ,  0.385
CSI_0923: 1.0211 ,  0.315412 ,  6.01 ,  0.385
CSI_0924: 14.915 ,  0.290833 ,  6.01 ,  0.385
